question_id,missed_tables_count,extra_tables_count,missed_tables,extra_tables,recall
0,0,1,set(),{'schools'},1.0
1,0,1,set(),{'schools'},1.0
2,1,0,{'frpm'},set(),0.5
3,0,0,set(),set(),1.0
4,1,0,{'frpm'},set(),0.5
5,0,0,set(),set(),1.0
6,0,0,set(),set(),1.0
7,0,0,set(),set(),1.0
8,0,0,set(),set(),1.0
9,1,1,{'frpm'},{'schools'},0.5
89,0,1,set(),{'trans'},1.0
90,0,0,set(),set(),1.0
91,0,0,set(),set(),1.0
92,0,0,set(),set(),1.0
93,0,0,set(),set(),1.0
94,1,0,{'account'},set(),0.6666666666666666
95,0,1,set(),{'disp'},1.0
96,0,0,set(),set(),1.0
97,1,2,{'account'},"{'client', 'trans'}",0.5
98,0,0,set(),set(),1.0
195,0,0,set(),set(),1.0
196,0,0,set(),set(),1.0
197,0,0,set(),set(),1.0
198,1,0,{'atom'},set(),0.6666666666666666
199,0,0,set(),set(),1.0
200,0,0,set(),set(),1.0
201,0,1,set(),{'connected'},1.0
202,0,0,set(),set(),1.0
203,0,0,set(),set(),1.0
204,0,0,set(),set(),1.0
340,0,0,set(),set(),1.0
341,0,0,set(),set(),1.0
342,0,0,set(),set(),1.0
343,0,0,set(),set(),1.0
344,0,0,set(),set(),1.0
345,0,0,set(),set(),1.0
346,0,0,set(),set(),1.0
347,1,1,{'rulings'},{'ruling'},0.5
348,1,1,{'rulings'},{'ruling'},0.5
349,1,1,{'rulings'},{'ruling'},0.5
531,0,0,set(),set(),1.0
532,0,0,set(),set(),1.0
533,0,0,set(),set(),1.0
534,0,0,set(),set(),1.0
535,0,0,set(),set(),1.0
536,0,0,set(),set(),1.0
537,0,0,set(),set(),1.0
538,0,0,set(),set(),1.0
539,0,0,set(),set(),1.0
540,1,0,{'users'},set(),0.5
717,0,0,set(),set(),1.0
718,0,1,set(),{'superhero'},1.0
719,0,0,set(),set(),1.0
720,0,0,set(),set(),1.0
721,0,0,set(),set(),1.0
722,0,0,set(),set(),1.0
723,0,0,set(),set(),1.0
724,0,0,set(),set(),1.0
725,0,0,set(),set(),1.0
726,1,0,{'publisher'},set(),0.5
846,0,2,set(),"{'races', 'results'}",1.0
847,1,2,{'qualifying'},"{'races', 'laptimes'}",0.5
848,0,0,set(),set(),1.0
849,0,0,set(),set(),1.0
850,0,0,set(),set(),1.0
851,0,1,set(),{'circuits'},1.0
852,0,0,set(),set(),1.0
853,0,0,set(),set(),1.0
854,0,0,set(),set(),1.0
855,0,0,set(),set(),1.0
1020,0,1,set(),{'player'},1.0
1021,0,0,set(),set(),1.0
1022,0,0,set(),set(),1.0
1023,0,1,set(),{'player'},1.0
1024,0,1,set(),{'player'},1.0
1025,0,0,set(),set(),1.0
1026,0,0,set(),set(),1.0
1027,0,0,set(),set(),1.0
1028,1,0,{'team'},set(),0.6666666666666666
1029,1,0,{'team'},set(),0.5
1149,0,0,set(),set(),1.0
1150,0,0,set(),set(),1.0
1151,0,0,set(),set(),1.0
1152,0,0,set(),set(),1.0
1153,0,0,set(),set(),1.0
1154,0,0,set(),set(),1.0
1155,0,0,set(),set(),1.0
1156,0,0,set(),set(),1.0
1157,0,0,set(),set(),1.0
1158,0,0,set(),set(),1.0
1312,0,0,set(),set(),1.0
1313,0,0,set(),set(),1.0
1314,0,0,set(),set(),1.0
1315,0,1,set(),{'member'},1.0
1316,0,0,set(),set(),1.0
1317,0,0,set(),set(),1.0
1318,0,0,set(),set(),1.0
1319,0,0,set(),set(),1.0
1320,0,0,set(),set(),1.0
1321,0,0,set(),set(),1.0
1470,0,0,set(),set(),1.0
1471,0,0,set(),set(),1.0
1472,1,0,{'customers'},set(),0.5
1473,0,0,set(),set(),1.0
1474,0,0,set(),set(),1.0
1475,0,0,set(),set(),1.0
1476,0,0,set(),set(),1.0
1477,1,1,{'yearmonth'},{'transactions_1k'},0.5
1478,0,0,set(),set(),1.0
1479,0,0,set(),set(),1.0
